Required	Service	Description	Region	Billing Mode	Purchase Amount	Quantity	Specifications	3-years unit price (USD)	Discounted Unit Price (USD)	Original Price (USD)	Discount Amount (USD)	Discounted Price (USD)	Monthly Price (USD)
OCS-SRVR-01	Elastic Cloud Server 26	OCS-SRVR-01	LA-Mexico City2	 RI	1	1	BYOL | General computing | x0.4u.4g | 4 vCPUs | 4GiB | No Upfront | 3 Years; General Purpose SSD | 45GB; 	1,170.74	1,170.74	1,170.74	0.00	1,170.74	32.52056
SAP 01 SERVER	Elastic Cloud Server 27	SAP 01 SERVER	LA-Mexico City2	 RI	1	1	AlmaLinux | AlmaLinux 9.4 64bit; x86 | Memory-optimized | m7n.16xlarge.8 | 64 vCPUs | 512GiB | No Upfront | 3 Years; High I/O | 1024GB; High I/O | 500GB; 	48,139.07	48,139.07	48,139.07	0.00	48,139.07	1,337.19639
SAP 02 SERVER	Elastic Cloud Server 28	SAP 02 SERVER	LA-Mexico City2	 RI	1	1	CentOS | CentOS 8.2 64bit; x86 | Large-memory | e7.12xlarge.20 | 48 vCPUs | 960GiB | No Upfront | 3 Years; High I/O | 1024GB; High I/O | 500GB; 	76,768.79	76,768.79	76,768.79	0.00	76,768.79	2,132.46639
New Server	Elastic Cloud Server 29	New Server	LA-Mexico City2	 RI	1	1	BYOL | General computing | x0.8u.16g | 8 vCPUs | 16GiB | No Upfront | 3 Years; General Purpose SSD | 280GB; 	3,132.43	3,132.43	3,132.43	0.00	3,132.43	87.01194
Virtual Private Network	Virtual Private Network 1	Virtual Private Network	LA-Mexico City2	Monthly	1	1	Professional 1 | 10amountsVPN Connection Groups; 1Mbit/s; 1Mbit/s; 	225.02	225.02	225.02	0.00	225.02	225.02
NAT Gateway	NAT Gateway 1	NAT Gateway	LA-Mexico City2	Monthly	1	1	Small; 	57.30	57.30	57.30	0.00	57.30	57.30
Elastic IP	Elastic IP 1	Elastic IP	LA-Mexico City2	Pay-per-use	730	1	Dedicated | Dynamic BGP | Traffic | 1TB; 1 ; 	86.59	86.59	86.59	0.00	86.59	86.59
Cloud Backup and Recovery	Cloud Backup and Recovery 1	Cloud Backup and Recovery	LA-Mexico City2	Monthly	1	1	Server backup vault | 14446GB; 	520.05	520.05	520.05	0.00	520.05	520.05
Support Plan	Support Plans 1	Support Plans	LA-Mexico City2	Monthly	1	1	Business | 4500USD/month; 	450.00	450.00	16,200.00	0.00	450.00	450.00
Cloud Backup and Recovery	Cloud Backup and Recovery 1	Cloud Backup and Recovery	LA-Mexico City2	Monthly	1	1	Server backup vault | 7168GB; 	258.04	258.04	258.04	0.00	258.04	258.04
Total Price								212,206.29	206,979.52	227,956.29	0.00	212,206.29	7,447.26
